start,end,url,filename
0.06,3.2,https://www.youtube.com/watch?v=QwnADXL9yk8,0.wav
0.0,0.45,https://www.youtube.com/watch?v=PO5vtZMw7SY,1.wav
0.05,10.15,https://www.youtube.com/watch?v=HhljUdMUbs0,2.wav
0.16,4.0,https://www.youtube.com/watch?v=qxmX6Jp5Mk0,3.wav
0.1,2.44,https://www.youtube.com/watch?v=ga-j8zSAXH4,4.wav
0.11,2.56,https://www.youtube.com/watch?v=TGCPyyO0AmI,5.wav
0.08,2.51,https://www.youtube.com/watch?v=OzluPDRp7zs,6.wav
0.08,2.57,https://www.youtube.com/watch?v=cmdC-mOTZ7Q,7.wav
0.08,3.0,https://www.youtube.com/watch?v=hqnWWyHPJ0M,8.wav
0.08,2.55,https://www.youtube.com/watch?v=tpEmJ0oAvJE,9.wav
0.1,2.55,https://www.youtube.com/watch?v=cchMC7OOlrc,10.wav
0.1,3.11,https://www.youtube.com/watch?v=kvajwGlZxwU,11.wav
0.1,3.27,https://www.youtube.com/watch?v=3nvYXzCNsIE,12.wav
0.1,2.59,https://www.youtube.com/watch?v=M42yO_czpXM,13.wav
0.1,3.12,https://www.youtube.com/watch?v=W1qNR_X2wyk,14.wav
0.1,3.07,https://www.youtube.com/watch?v=AWstinFb6i8,15.wav
0.1,2.55,https://youtu.be/UHbWsRg0dbg,16.wav
0.22,3.12,https://www.youtube.com/watch?v=QsT7kPPn2Bs,17.wav
0.12,3.13,https://www.youtube.com/watch?v=dYa-1m_K-sU,18.wav
0.13,3.13,https://www.youtube.com/watch?v=dDiGjfEu5IQ,19.wav
0.09,3.07,https://www.youtube.com/watch?v=R19QqavAeuc,20.wav
0.11,2.56,https://www.youtube.com/watch?v=CZzsrVMWA9U,21.wav
0.1,3.07,https://www.youtube.com/watch?v=8XZt0l5EyiA,22.wav
0.11,3.03,https://www.youtube.com/watch?v=8nYddoxPfzI,23.wav
0.1,3.05,https://www.youtube.com/watch?v=L-emTmp3GgQ,24.wav
0.12,3.02,https://www.youtube.com/watch?v=IHrMkgdxJv0,25.wav
0.12,2.52,https://www.youtube.com/watch?v=lI6s-rejr08,26.wav
0.13,3.05,https://www.youtube.com/watch?v=2zTAii1ioIY,27.wav
