start,end,url,filename
0.1,7.57,https://www.youtube.com/watch?v=ihrIL2qQbgs,0.wav
0.0,17.22,https://www.youtube.com/watch?v=GAz-K_iFfM8,1.wav
0.13,,https://www.youtube.com/watch?v=Nm3g8PokIp0,2.wav
0.03,1.55,https://www.youtube.com/watch?v=N5I5NDkNPRc,3.wav
0.03,1.0,https://www.youtube.com/watch?v=SsvdgkeNePw,4.wav
0.05,1.48,https://www.youtube.com/watch?v=eeSkLkCh62g,5.wav
0.05,,https://www.youtube.com/watch?v=pX-D2DL_nb8,6.wav
0.05,,https://www.youtube.com/watch?v=YPQXVG7Ukhw,7.wav
0.05,,https://www.youtube.com/watch?v=lPw1PmpagQc,8.wav
0.03,1.5,https://www.youtube.com/watch?v=OGTtIA5f2z0,9.wav
0.05,,https://www.youtube.com/watch?v=rKaz8tHpirA,10.wav
0.03,0.57,https://www.youtube.com/watch?v=vYEB08i2_dU,11.wav
0.05,,https://www.youtube.com/watch?v=KaXHaO5Y3U4,12.wav
0.05,,https://www.youtube.com/watch?v=3f-6y7CD9gQ,13.wav
0.05,,https://www.youtube.com/watch?v=HOAufVwM908,14.wav
0.05,,https://www.youtube.com/watch?v=uQJ6qqGcdVs,15.wav
0.05,,https://www.youtube.com/watch?v=-97yPVjIgGA,16.wav
0.05,,https://www.youtube.com/watch?v=h_zWxhsELhY,17.wav
0.05,,https://www.youtube.com/watch?v=G-auR1wuawY,18.wav
0.07,,https://www.youtube.com/watch?v=MaFNalOBynU,19.wav
0.05,,https://www.youtube.com/watch?v=XewJ4yHf6QA,20.wav
0.03,1.03,https://www.youtube.com/watch?v=vxGN6emBMUQ,21.wav
0.05,,https://www.youtube.com/watch?v=1-KhpAJIefE,22.wav
0.05,,https://www.youtube.com/watch?v=Dv4cnvlClwc,23.wav
0.03,1.33,https://www.youtube.com/watch?v=wDT3sBOkGLE,24.wav
0.05,,https://www.youtube.com/watch?v=grmJ-MfQiL4,25.wav
0.03,1.32,https://www.youtube.com/watch?v=-mCGtpCbU2o,26.wav
0.05,,https://www.youtube.com/watch?v=4EQ7R-ta0h8,27.wav
0.05,,https://www.youtube.com/watch?v=TizgSNBuhTs,28.wav
0.03,1.37,https://www.youtube.com/watch?v=XvClFm4svKs,29.wav
0.05,,https://www.youtube.com/watch?v=vhkBdsQdviY,30.wav
0.03,1.4,https://www.youtube.com/watch?v=5UIUl5Oqd-M,31.wav
0.05,,https://www.youtube.com/watch?v=xCOHO6GRjhY,32.wav
0.05,,https://www.youtube.com/watch?v=Zl9mdqin_eo,33.wav
0.05,,https://www.youtube.com/watch?v=6Cy6Pw9bpyk,34.wav
0.03,1.1,https://www.youtube.com/watch?v=3RI8xR0ineg,35.wav
0.05,,https://www.youtube.com/watch?v=B1iD9nzDdRc,36.wav
0.05,,https://www.youtube.com/watch?v=TGwRyDLpwYA,37.wav
0.06,4.56,https://www.youtube.com/watch?v=vJzUR-9eZdA,38.wav
0.05,,https://www.youtube.com/watch?v=aGUlK9Qbi5A,39.wav
0.05,,https://www.youtube.com/watch?v=_Gt-MMC43kI,40.wav
0.03,1.02,https://www.youtube.com/watch?v=1unxfKnANHM,41.wav
0.05,,https://www.youtube.com/watch?v=zAFTAlbbuUY,42.wav
0.05,,https://www.youtube.com/watch?v=nd_cHA9Fp5M,43.wav
